STATION,DATE,PRCP,TMAX,TMIN,YEAR,MONTH,DAY,TEMP
USW00023174,1995-02-21,0.0,20.0,14.4,1995,2,21,17.2
USW00023174,2007-05-12,0.0,17.8,12.2,2007,5,12,15.0
USW00094728,1923-05-30,0.0,25.0,11.1,1923,5,30,18.05
USW00023174,1997-10-26,0.0,26.1,11.1,1997,10,26,18.6
USW00013874,1946-07-23,0.0,32.2,20.0,1946,7,23,26.1
USW00023174,1997-02-03,0.0,20.0,9.4,1997,2,3,14.7
USW00023174,2017-10-26,0.0,32.2,19.4,2017,10,26,25.8
USW00023174,2009-05-14,0.0,21.1,14.4,2009,5,14,17.75
USW00023174,1954-03-14,0.0,21.1,5.6,1954,3,14,13.35
USW00094728,2006-02-13,0.0,2.2,-7.2,2006,2,13,-2.5
USW00094728,1944-11-12,0.0,12.2,2.2,1944,11,12,7.2
USW00094728,1984-05-26,3.3,29.4,18.9,1984,5,26,24.15
USW00094728,1992-06-12,0.0,29.4,15.6,1992,6,12,22.5
USW00094728,1914-07-30,0.0,20.0,14.4,1914,7,30,17.2
USW00094728,1924-12-10,0.0,3.3,-1.1,1924,12,10,1.1
USW00013874,1934-10-24,0.0,24.4,12.2,1934,10,24,18.3
USW00094728,1869-06-06,0.0,18.3,15.6,1869,6,6,16.95
USW00094728,1873-11-04,0.0,10.6,0.6,1873,11,4,5.6
USW00023174,1960-08-22,0.0,25.0,18.3,1960,8,22,21.65
USW00023174,1977-03-07,0.0,23.9,8.9,1977,3,7,16.4
USW00023174,1965-06-20,0.0,20.0,15.6,1965,6,20,17.8
USW00094728,1875-11-08,0.0,7.8,2.8,1875,11,8,5.3
USW00023174,2007-09-01,0.0,26.7,21.7,2007,9,1,24.2
USW00094728,1922-04-08,0.0,23.3,12.8,1922,4,8,18.05
USW00094728,1982-03-08,0.0,1.7,-3.3,1982,3,8,-0.8
USW00094728,1909-10-14,0.0,13.9,8.3,1909,10,14,11.1
USW00013874,1934-08-19,0.0,30.6,22.2,1934,8,19,26.4
USW00013874,1951-10-06,0.0,32.8,20.6,1951,10,6,26.7
USW00013874,1945-11-05,0.0,20.0,0.0,1945,11,5,10.0
USW00094728,1948-10-11,0.0,18.9,16.7,1948,10,11,17.8
USW00023174,2004-03-06,0.0,17.8,10.6,2004,3,6,14.2
USW00023174,2020-05-15,0.0,22.8,15.0,2020,5,15,18.9
USW00094728,1915-01-29,0.0,-2.2,-8.3,1915,1,29,-5.25
USW00094728,1969-08-05,12.4,26.1,20.6,1969,8,5,23.35
USW00094728,1911-09-28,0.0,20.6,11.7,1911,9,28,16.15
USW00094728,1947-02-22,0.0,-1.7,-7.8,1947,2,22,-4.75
USW00023174,1978-11-05,0.0,21.7,15.6,1978,11,5,18.65
USW00094728,1900-04-01,0.0,10.6,-0.6,1900,4,1,5.0
USW00013874,1957-02-16,0.5,12.8,5.6,1957,2,16,9.2
USW00094728,1913-03-09,0.0,18.3,1.1,1913,3,9,9.7
USW00094728,1923-03-19,1.5,8.9,-9.4,1923,3,19,-0.25
USW00013874,1937-03-17,0.0,16.1,-0.6,1937,3,17,7.75
USW00094728,1978-12-26,0.0,5.6,-0.6,1978,12,26,2.5
USW00094728,1956-01-09,3.8,7.8,-3.9,1956,1,9,1.95
USW00094728,1938-05-17,0.0,25.0,13.3,1938,5,17,19.15
USW00023174,2004-07-18,0.0,27.8,19.4,2004,7,18,23.6
USW00094728,2010-07-13,21.3,28.3,22.8,2010,7,13,25.55
USW00023174,1994-07-13,0.0,22.8,17.2,1994,7,13,20.0
USW00094728,1881-12-18,0.0,10.0,0.6,1881,12,18,5.3
USW00023174,2021-02-01,0.0,20.6,13.3,2021,2,1,16.95
USW00094728,1967-01-10,0.0,2.8,-0.6,1967,1,10,1.1
USW00094728,1902-07-31,0.0,27.8,22.8,1902,7,31,25.3
USW00094728,1966-10-25,0.0,16.7,10.6,1966,10,25,13.65
USW00023174,1980-12-26,0.0,26.7,11.1,1980,12,26,18.9
USW00094728,2017-11-22,5.3,13.3,1.7,2017,11,22,7.5
USW00094728,1977-09-10,4.3,28.3,19.4,1977,9,10,23.85
USW00013874,1948-07-03,0.0,34.4,21.1,1948,7,3,27.75
USW00023174,1989-08-01,0.0,26.7,16.7,1989,8,1,21.7
USW00013874,1960-06-18,0.0,28.9,16.7,1960,6,18,22.8
USW00094728,1870-08-06,0.0,32.2,22.8,1870,8,6,27.5
USW00023174,2019-06-24,0.0,20.6,16.1,2019,6,24,18.35
USW00023174,1956-12-10,0.0,20.0,6.7,1956,12,10,13.35
USW00094728,1957-05-07,0.0,27.2,11.1,1957,5,7,19.15
USW00023174,2012-11-16,0.5,21.7,14.4,2012,11,16,18.05
USW00094728,1968-05-19,5.1,22.8,11.1,1968,5,19,16.95
USW00023174,2002-08-11,0.0,23.9,17.8,2002,8,11,20.85
USW00023174,1952-04-01,0.0,17.2,9.4,1952,4,1,13.3
USW00094728,1994-10-28,0.0,17.8,6.7,1994,10,28,12.25
USW00094728,1946-03-03,0.0,8.9,2.8,1946,3,3,5.85
USW00023174,2019-01-28,0.0,21.1,9.4,2019,1,28,15.25
USW00094728,1870-08-09,0.0,30.0,23.9,1870,8,9,26.95
USW00094728,1953-10-14,0.0,18.9,7.8,1953,10,14,13.35
